,movie,year,imdb,metascore,votes,us_grossMillions,timeMin,genre,certificate,stars,descriptions
51,The Nightmare Before Christmas,1993,7.9,82.0,339113,75.08,76,"Animation, Family, Fantasy            ",PG,"
    Director:
Henry Selick
| 
    Stars:
Danny Elfman, 
Chris Sarandon, 
Catherine O'Hara, 
William Hickey
","
Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
52,Django Unchained,2012,8.4,81.0,1541900,162.81,165,"Drama, Western            ",R,"
    Director:
Quentin Tarantino
| 
    Stars:
Jamie Foxx, 
Christoph Waltz, 
Leonardo DiCaprio, 
Kerry Washington
","
With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi."
53,Almost Famous,2000,7.9,90.0,276926,32.53,122,"Adventure, Comedy, Drama            ",R,"
    Director:
Cameron Crowe
| 
    Stars:
Billy Crudup, 
Patrick Fugit, 
Kate Hudson, 
Frances McDormand
","
A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour."
54,Gladiator,2000,8.5,67.0,1491538,187.71,155,"Action, Adventure, Drama            ",R,"
    Director:
Ridley Scott
| 
    Stars:
Russell Crowe, 
Joaquin Phoenix, 
Connie Nielsen, 
Oliver Reed
","
A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery."
55,Shutter Island,2010,8.2,63.0,1303596,128.01,138,"Mystery, Thriller            ",R,"
    Director:
Martin Scorsese
| 
    Stars:
Leonardo DiCaprio, 
Emily Mortimer, 
Mark Ruffalo, 
Ben Kingsley
","
In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
56,Requiem for a Dream,2000,8.3,68.0,839132,3.64,102,Drama            ,R,"
    Director:
Darren Aronofsky
| 
    Stars:
Ellen Burstyn, 
Jared Leto, 
Jennifer Connelly, 
Marlon Wayans
","
The drug-induced utopias of four Coney Island people are shattered when their addictions run deep."
57,Full Metal Jacket,1987,8.3,76.0,740631,46.36,116,"Drama, War            ",R,"
    Director:
Stanley Kubrick
| 
    Stars:
Matthew Modine, 
R. Lee Ermey, 
Vincent D'Onofrio, 
Adam Baldwin
","
A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue."
58,The Lord of the Rings: The Return of the King,2003,9.0,94.0,1835135,377.85,201,"Action, Adventure, Drama            ",PG-13,"
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Viggo Mortensen, 
Ian McKellen, 
Orlando Bloom
","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
59,Zack Snyder's Justice League,2021,8.0,54.0,395388,,242,"Action, Adventure, Fantasy            ",R,"
    Director:
Zack Snyder
| 
    Stars:
Henry Cavill, 
Ben Affleck, 
Gal Gadot, 
Amy Adams
","
Determined to ensure that Superman's ultimate sacrifice wasn't in vain, Bruce Wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions."
60,The Goonies,1985,7.7,62.0,274397,61.5,114,"Adventure, Comedy, Family            ",PG,"
    Director:
Richard Donner
| 
    Stars:
Sean Astin, 
Josh Brolin, 
Jeff Cohen, 
Corey Feldman
","
A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure."
61,No Country for Old Men,2007,8.2,92.0,967847,74.28,122,"Crime, Drama, Thriller            ",R,"
    Directors:
Ethan Coen, 
Joel Coen
| 
    Stars:
Tommy Lee Jones, 
Javier Bardem, 
Josh Brolin, 
Woody Harrelson
","
Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande."
62,Hacksaw Ridge,2016,8.1,71.0,522851,67.21,139,"Biography, Drama, History            ",R,"
    Director:
Mel Gibson
| 
    Stars:
Andrew Garfield, 
Sam Worthington, 
Luke Bracey, 
Teresa Palmer
","
World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
63,Little Women,2019,7.8,91.0,203906,108.1,135,"Drama, Romance            ",PG,"
    Director:
Greta Gerwig
| 
    Stars:
Saoirse Ronan, 
Emma Watson, 
Florence Pugh, 
Eliza Scanlen
","
Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
64,Jurassic Park,1993,8.2,68.0,984232,402.45,127,"Action, Adventure, Sci-Fi            ",PG-13,"
    Director:
Steven Spielberg
| 
    Stars:
Sam Neill, 
Laura Dern, 
Jeff Goldblum, 
Richard Attenborough
","
A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose."
65,Prisoners,2013,8.1,70.0,707044,61.0,153,"Crime, Drama, Mystery            ",R,"
    Director:
Denis Villeneuve
| 
    Stars:
Hugh Jackman, 
Jake Gyllenhaal, 
Viola Davis, 
Melissa Leo
","
When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
66,Wind River,2017,7.7,73.0,251952,33.8,107,"Crime, Drama, Mystery            ",R,"
    Director:
Taylor Sheridan
| 
    Stars:
Elizabeth Olsen, 
Jeremy Renner, 
Graham Greene, 
Kelsey Asbille
","
A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation."
67,Avengers: Infinity War,2018,8.4,68.0,1069865,678.82,149,"Action, Adventure, Sci-Fi            ",PG-13,"
    Directors:
Anthony Russo, 
Joe Russo
| 
    Stars:
Robert Downey Jr., 
Chris Hemsworth, 
Mark Ruffalo, 
Chris Evans
","
The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe."
68,The Departed,2006,8.5,85.0,1317993,132.38,151,"Crime, Drama, Thriller            ",R,"
    Director:
Martin Scorsese
| 
    Stars:
Leonardo DiCaprio, 
Matt Damon, 
Jack Nicholson, 
Mark Wahlberg
","
An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston."
69,Harry Potter and the Goblet of Fire,2005,7.7,81.0,624024,290.01,157,"Adventure, Family, Fantasy            ",PG-13,"
    Director:
Mike Newell
| 
    Stars:
Daniel Radcliffe, 
Emma Watson, 
Rupert Grint, 
Eric Sykes
","
Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares."
70,The Matrix,1999,8.7,73.0,1901849,171.48,136,"Action, Sci-Fi            ",R,"
    Directors:
Lana Wachowski, 
Lilly Wachowski
| 
    Stars:
Keanu Reeves, 
Laurence Fishburne, 
Carrie-Anne Moss, 
Hugo Weaving
","
When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
71,Léon: The Professional,1994,8.5,64.0,1154921,19.5,110,"Action, Crime, Drama            ",R,"
    Director:
Luc Besson
| 
    Stars:
Jean Reno, 
Gary Oldman, 
Natalie Portman, 
Danny Aiello
","
12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
72,Taxi Driver,1976,8.2,94.0,827258,28.26,114,"Crime, Drama            ",R,"
    Director:
Martin Scorsese
| 
    Stars:
Robert De Niro, 
Jodie Foster, 
Cybill Shepherd, 
Albert Brooks
","
A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
73,Deadpool,2016,8.0,65.0,1031842,363.07,108,"Action, Adventure, Comedy            ",R,"
    Director:
Tim Miller
| 
    Stars:
Ryan Reynolds, 
Morena Baccarin, 
T.J. Miller, 
Ed Skrein
","
A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks."
74,Come and See,1985,8.4,,79871,,142,"Drama, Thriller, War            ",Not Rated,"
    Director:
Elem Klimov
| 
    Stars:
Aleksey Kravchenko, 
Olga Mironova, 
Liubomiras Laucevicius, 
Vladas Bagdonas
","
After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
75,Iron Man,2008,7.9,79.0,1054458,318.41,126,"Action, Adventure, Sci-Fi            ",PG-13,"
    Director:
Jon Favreau
| 
    Stars:
Robert Downey Jr., 
Gwyneth Paltrow, 
Terrence Howard, 
Jeff Bridges
","
After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
76,300,2006,7.6,52.0,819454,210.61,117,"Action, Drama            ",R,"
    Director:
Zack Snyder
| 
    Stars:
Gerard Butler, 
Lena Headey, 
David Wenham, 
Dominic West
","
King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C."
77,The Fifth Element,1997,7.6,52.0,474055,63.54,126,"Action, Adventure, Sci-Fi            ",PG-13,"
    Director:
Luc Besson
| 
    Stars:
Bruce Willis, 
Milla Jovovich, 
Gary Oldman, 
Ian Holm
","
In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
78,The Hobbit: An Unexpected Journey,2012,7.8,58.0,826980,303.0,169,"Adventure, Fantasy            ",PG-13,"
    Director:
Peter Jackson
| 
    Stars:
Martin Freeman, 
Ian McKellen, 
Richard Armitage, 
Andy Serkis
","
A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
79,Jaws,1975,8.1,87.0,604968,260.0,124,"Adventure, Thriller            ",PG,"
    Director:
Steven Spielberg
| 
    Stars:
Roy Scheider, 
Robert Shaw, 
Richard Dreyfuss, 
Lorraine Gary
","
When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
80,Dunkirk,2017,7.8,94.0,654762,188.37,106,"Action, Drama, History            ",PG-13,"
    Director:
Christopher Nolan
| 
    Stars:
Fionn Whitehead, 
Barry Keoghan, 
Mark Rylance, 
Tom Hardy
","
Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
81,The Exorcist,1973,8.1,81.0,407892,232.91,122,Horror            ,R,"
    Director:
William Friedkin
| 
    Stars:
Ellen Burstyn, 
Max von Sydow, 
Linda Blair, 
Lee J. Cobb
","
When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter."
82,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,85.0,870932,381.01,130,"Adventure, Family, Fantasy            ",PG-13,"
    Director:
David Yates
| 
    Stars:
Daniel Radcliffe, 
Emma Watson, 
Rupert Grint, 
Michael Gambon
","
Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
83,Good Will Hunting,1997,8.3,70.0,962419,138.43,126,"Drama, Romance            ",R,"
    Director:
Gus Van Sant
| 
    Stars:
Robin Williams, 
Matt Damon, 
Ben Affleck, 
Stellan Skarsgård
","
Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
84,The Grand Budapest Hotel,2014,8.1,88.0,804766,59.1,99,"Adventure, Comedy, Crime            ",R,"
    Director:
Wes Anderson
| 
    Stars:
Ralph Fiennes, 
F. Murray Abraham, 
Mathieu Amalric, 
Adrien Brody
","
A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
85,The Godfather Part II,1974,9.0,90.0,1263475,57.3,202,"Crime, Drama            ",R,"
    Director:
Francis Ford Coppola
| 
    Stars:
Al Pacino, 
Robert De Niro, 
Robert Duvall, 
Diane Keaton
","
The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
86,The Prestige,2006,8.5,66.0,1325794,53.09,130,"Drama, Mystery, Sci-Fi            ",PG-13,"
    Director:
Christopher Nolan
| 
    Stars:
Christian Bale, 
Hugh Jackman, 
Scarlett Johansson, 
Michael Caine
","
After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
87,Office Space,1999,7.7,68.0,267860,10.82,89,Comedy            ,R,"
    Director:
Mike Judge
| 
    Stars:
Ron Livingston, 
Jennifer Aniston, 
David Herman, 
Ajay Naidu
","
Three company workers who hate their jobs decide to rebel against their greedy boss."
88,Alien,1979,8.5,89.0,878511,78.9,117,"Horror, Sci-Fi            ",R,"
    Director:
Ridley Scott
| 
    Stars:
Sigourney Weaver, 
Tom Skerritt, 
John Hurt, 
Veronica Cartwright
","
The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission."
89,A Clockwork Orange,1971,8.3,77.0,827497,6.21,136,"Crime, Sci-Fi            ",R,"
    Director:
Stanley Kubrick
| 
    Stars:
Malcolm McDowell, 
Patrick Magee, 
Michael Bates, 
Warren Clarke
","
In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
90,The Hangover,2009,7.7,73.0,783945,277.32,100,Comedy            ,R,"
    Director:
Todd Phillips
| 
    Stars:
Zach Galifianakis, 
Bradley Cooper, 
Justin Bartha, 
Ed Helms
","
Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding."
91,Black Swan,2010,8.0,79.0,765277,106.95,108,"Drama, Thriller            ",R,"
    Director:
Darren Aronofsky
| 
    Stars:
Natalie Portman, 
Mila Kunis, 
Vincent Cassel, 
Winona Ryder
","
A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake""."
92,Star Wars: Episode IV - A New Hope,1977,8.6,90.0,1357994,322.74,121,"Action, Adventure, Fantasy            ",PG,"
    Director:
George Lucas
| 
    Stars:
Mark Hamill, 
Harrison Ford, 
Carrie Fisher, 
Alec Guinness
","
Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
93,"Three Billboards Outside Ebbing, Missouri",2017,8.1,88.0,504897,54.51,115,"Comedy, Crime, Drama            ",R,"
    Director:
Martin McDonagh
| 
    Stars:
Frances McDormand, 
Woody Harrelson, 
Sam Rockwell, 
Caleb Landry Jones
","
A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit."
94,Guardians of the Galaxy,2014,8.0,76.0,1172280,333.18,121,"Action, Adventure, Comedy            ",PG-13,"
    Director:
James Gunn
| 
    Stars:
Chris Pratt, 
Vin Diesel, 
Bradley Cooper, 
Zoe Saldana
","
A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe."
95,Call Me by Your Name,2017,7.8,93.0,271967,18.1,132,"Drama, Romance            ",R,"
    Director:
Luca Guadagnino
| 
    Stars:
Timothée Chalamet, 
Armie Hammer, 
Michael Stuhlbarg, 
Amira Casar
","
In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
